"Index","State","Population","ViolentCrimeTotal","Murder","Rape","Robbery","Assault","PropertyCrimeTotal","Burglary","LarcenyTheft","MotorVehicleTheft","ViolentCrimeRate","MurderRate","RapeRate","RobberyRate","AssaultRate","PropertyCrimeRate","BurglaryRate","LarcenyTheftRate","MotorVehicleTheftRate","stateNumber","abbrev"
"42","South_Dakota",812383,1508,21,445,111,931,13968,2479,10676,813,185.6,2.6,54.8,13.7,114.6,1719.4,305.2,1314.2,100.1,41,"SD"
"43","Tennessee",6296254,42041,461,1993,9647,29940,236365,63646,157746,14973,667.7,7.3,31.7,153.2,475.5,3754.1,1010.9,2505.4,237.8,42,"TN"
"44","Texas",24782302,121668,1328,8287,38035,74018,995145,240233,678353,76559,490.9,5.4,33.4,153.5,298.7,4015.5,969.4,2737.2,308.9,43,"TX"
"45","Utah",2784572,5924,37,905,1299,3683,91205,15159,69142,6904,212.7,1.3,32.5,46.6,132.3,3275.4,544.4,2483,247.9,44,"UT"
"46","Vermont",621760,817,7,124,111,575,14931,3452,11031,448,131.4,1.1,19.9,17.9,92.5,2401.4,555.2,1774.2,72.1,45,"VT"
"47","Virginia",7882590,17879,347,1511,6257,9764,191453,31576,148458,11419,226.8,4.4,19.2,79.4,123.9,2428.8,400.6,1883.4,144.9,46,"VA"
"48","Washington",6664195,22056,179,2539,6699,12639,244368,52791,167897,23680,331,2.7,38.1,100.5,189.7,3666.9,792.2,2519.4,355.3,47,"WA"
"49","West_Virginia",1819777,5396,84,433,917,3962,45981,11951,31289,2741,296.5,4.6,23.8,50.4,217.7,2526.7,656.7,1719.4,150.6,48,"WV"
"50","Wisconsin",5654774,14533,144,1108,4850,8431,147486,26740,111820,8926,257,2.5,19.6,85.8,149.1,2608.2,472.9,1977.4,157.8,49,"WI"
"51","Wyoming",544270,1242,13,184,77,968,14354,2230,11353,771,228.2,2.4,33.8,14.1,177.9,2637.3,409.7,2085.9,141.7,50,"WY"
